release_date,track_name,artist(s)_name,artist_count,in_spotify_playlists,in_spotify_charts,mils_of_streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
2021-06-11,Por las Noches,Peso Pluma,1,457,24,330.3464,8,116,4.0,3,2.0,92,,Major,81,39,60,31,0,7,3
2022-08-19,Feliz Cumpleaï¿½ï¿½os Fe,Feid,1,3430,38,601.8638,45,69,52.0,4,3.0,95,F,Major,87,57,55,10,0,29,7
2011-08-16,Can't Hold Us (feat. Ray Dalton),"Ray Dalton, Ryan Lewis, Macklemore",3,6074,52,1953.5338,201,44,,2,0.0,146,D,Major,63,88,93,3,0,10,8
2019-11-17,Watermelon Sugar,Harry Styles,1,21915,34,2322.5801,437,115,,12,,95,,Major,55,56,82,12,0,34,5
2017-08-11,lovely - Bonus Track,"Billie Eilish, Khalid",2,15032,30,2355.7199,221,96,,2,136.0,115,E,Minor,35,12,30,93,0,10,3
2023-06-21,"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","Rauw Alejandro, Bizarrap",2,871,32,66.9025,25,59,32.0,5,88.0,128,B,Major,78,59,65,10,0,26,5
2023-05-15,Queencard,(G)I-DLE,1,451,33,96.2737,10,126,7.0,0,148.0,130,E,Minor,82,69,83,3,0,27,5
2023-01-02,OMG,NewJeans,1,1783,27,430.9775,26,124,15.0,1,22.0,127,A,Minor,80,74,77,36,0,11,4
2011-01-01,Radio,Lana Del Rey,1,9389,46,284.8199,24,122,282.0,3,368.0,150,D,Major,42,20,86,21,0,9,9
2023-01-11,"Shakira: Bzrp Music Sessions, Vol. 53","Shakira, Bizarrap",2,5724,44,721.9756,119,108,254.0,29,22.0,122,D,Minor,78,50,63,27,0,9,5
2007-04-20,505,Arctic Monkeys,1,13985,25,1217.1207,30,80,588.0,1,1.0,140,,Major,52,20,85,0,0,7,5
2023-06-02,"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)","Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV",4,1051,16,109.2761,31,37,31.0,0,189.0,140,,Major,63,22,54,46,0,12,8
2022-12-02,Trance (with Travis Scott & Young Thug),"Travis Scott, Young Thug, Metro Boomin",3,1682,46,276.2592,24,90,30.0,1,176.0,119,C#,Minor,75,48,53,18,0,18,34
2023-05-22,"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",5,182,8,54.2256,3,88,1.0,0,52.0,110,G,Minor,76,96,72,32,0,9,4
2017-01-01,Perfect,Ed Sheeran,1,16596,13,2559.5291,7,0,,0,0.0,95,G#,Major,60,17,45,16,0,11,2
2022-07-20,Romantic Homicide,d4vd,1,2335,23,681.5831,82,55,50.0,0,9.0,132,F#,Major,56,20,55,45,1,32,3
2017-01-31,Believer,Imagine Dragons,1,18986,23,2594.0401,250,121,,10,31.0,125,A#,Minor,77,74,78,4,0,23,11
2023-05-19,Novo Balanï¿½,"Veigh, Bvga Beatz, Supernova Ent, Prod Malax",4,283,7,81.1023,6,9,26.0,1,66.0,124,D#,Minor,84,65,50,67,0,13,6
2023-06-01,"Gol Bolinha, Gol Quadrado 2","Mc Pedrinho, DJ 900",2,293,8,11.9566,5,2,30.0,2,66.0,133,B,Minor,93,68,65,42,0,12,25
2002-01-01,Without Me,Eminem,1,21081,43,1687.664,98,76,,5,0.0,112,G,Major,92,67,66,0,0,36,9
2023-07-13,QUEMA,"Sog, Ryan Castro, Peso Pluma",3,437,31,11.5994,17,29,26.0,3,208.0,97,,Major,79,92,89,5,0,6,5
2016-11-24,Stargirl Interlude,"The Weeknd, Lana Del Rey",2,1275,32,611.7006,13,8,5.0,0,1.0,90,F,Minor,59,52,48,38,5,10,11
2022-05-06,Ojitos Lindos,"Bomba Estï¿½ï¿½reo, Bad B",2,6135,38,1133.8658,71,113,99.0,13,28.0,80,D#,Minor,65,27,69,8,0,53,4
2004-01-01,Somewhere Only We Know,Keane,1,20015,16,1089.4025,107,69,,0,558.0,172,A,Major,45,33,59,6,0,8,3
2019-05-10,Those Eyes,New West,1,1507,14,411.7476,24,71,44.0,1,195.0,120,E,Major,60,24,35,73,0,31,3
2023-01-27,El Gordo Trae El Mando,Chino Pacas,1,539,21,255.9324,7,71,4.0,2,13.0,140,G,Minor,74,96,80,18,0,5,5
2023-06-30,Mi Bello Angel,Natanael Cano,1,86,8,31.8735,7,76,3.0,1,93.0,128,A,Minor,81,90,77,1,0,9,5
2023-05-26,Bye,Peso Pluma,1,324,14,95.0536,13,110,8.0,2,60.0,122,,Major,78,70,81,57,0,10,5
2010-01-01,Danza Kuduro,"Don Omar, Lucenzo",2,17138,37,1279.4349,119,81,974.0,1,503.0,130,,Major,47,86,92,8,0,5,24
2023-02-02,Nosso Quadro,"Ana Castela, AgroPlay",2,894,9,233.8016,14,88,66.0,3,72.0,160,A,Major,69,61,71,33,0,31,20
2012-12-05,Locked Out Of Heaven,Bruno Mars,1,1622,9,1481.35,0,0,356.0,0,0.0,144,F,Major,73,87,70,6,0,28,5
2023-04-04,Un Finde | CROSSOVER #2,"Big One, FMK, Ke personajes",3,561,14,142.0953,4,14,12.0,5,56.0,192,B,Major,50,85,52,11,0,28,6
2022-06-17,Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage",2,5871,27,618.8855,81,121,58.0,1,34.0,163,,Major,54,40,67,0,0,9,17
2013-01-01,Counting Stars,OneRepublic,1,29215,43,2011.4642,179,97,,11,153.0,122,C#,Minor,66,48,71,6,0,12,4
2021-03-19,Ghost,Justin Bieber,1,5866,24,1167.3307,107,38,95.0,0,,154,D,Major,61,41,74,21,0,40,6
2019-10-04,Under The Influence,Chris Brown,1,3859,26,929.9648,133,181,3.0,0,,117,A,Minor,73,31,69,6,0,11,4
2023-01-23,PRC,"Natanael Cano, Peso Pluma",2,961,26,436.0279,19,143,10.0,6,15.0,138,G,Minor,78,89,83,10,0,12,5
2004-07-13,Gasolina,Daddy Yankee,1,6457,18,657.7236,98,95,453.0,0,454.0,96,,Major,86,74,80,33,0,8,6
2016-04-04,One Dance,"Drake, WizKid, Kyla",3,43257,24,2713.9223,433,107,,0,26.0,104,C#,Major,77,36,63,1,0,36,5
2010-01-01,Enchanted,Taylor Swift,1,4564,16,621.661,24,101,113.0,0,40.0,164,G#,Major,45,24,62,8,0,16,3
2020-03-20,Save Your Tears,The Weeknd,1,12688,13,1591.2238,197,115,112.0,0,200.0,118,,Major,68,61,82,2,0,50,3
2010-05-25,Sure Thing,Miguel,1,13801,19,950.9065,137,125,435.0,6,285.0,81,B,Minor,68,51,60,3,0,19,10
1983-01-06,Every Breath You Take - Remastered 2003,The Police,1,22439,19,1593.2707,211,74,929.0,0,129.0,117,C#,Major,82,73,45,54,0,7,3
2015-02-02,The Night We Met,Lord Huron,1,18515,35,1410.0888,70,82,939.0,1,162.0,174,D,Major,45,10,37,97,25,64,4
2011-01-01,We Found Love,"Rihanna, Calvin Harris",2,36843,21,1235.0055,321,91,,1,58.0,128,C#,Major,73,60,77,3,0,11,4
2012-12-05,When I Was Your Man,Bruno Mars,1,2420,11,1661.1873,0,0,806.0,0,0.0,145,,Major,60,43,27,94,0,14,4
2018-05-25,Let Me Down Slowly,Alec Benjamin,1,5897,19,1374.5812,0,0,885.0,0,0.0,150,C#,Minor,65,51,55,73,0,14,3
2023-06-02,"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","A$AP Rocky, Metro Boomin, Roisee",3,727,16,94.1865,17,60,28.0,1,44.0,90,A,Minor,60,13,53,4,0,21,4
2013-01-01,Do I Wanna Know?,Arctic Monkeys,1,33783,26,1788.3264,133,92,,1,26.0,85,F,Major,55,42,53,17,0,22,3
2012-01-01,Demons,Imagine Dragons,1,26694,13,1840.3646,65,82,,4,13.0,180,D#,Major,33,38,71,20,0,28,5
2023-04-12,ýýýýýýýýýýýý,YOASOBI,1,356,16,143.5738,35,102,8.0,1,117.0,166,C#,Major,57,84,94,11,0,37,9
2016-11-25,Reminder,The Weeknd,1,6518,17,684.6758,45,85,238.0,1,47.0,160,G#,Major,71,40,50,16,0,16,22
